departure_airport_name,departure_airport_code,arrival_airport_name,arrival_airport_code,airline_name,airline_assured_name,departure_city_name,departure_city_code,arrival_city_name,arrival_city_code,stopover_count,stopover_city_name,stopover_city_code,stopover_airport_name,stopover_airport_code,stopover_country,departure_country_name,departure_country_code,arrival_country_name,arrival_country_code,distance
Aéroport de Paris-Orly,ORY,Aéroport de Dublin,DUB,Transavia France,,Paris,PAR,Dublin,DUB,0,,,,,,France,FR,Irlande,IE,797
Aéroport de Paris-Orly,ORY,Aéroport de Dubrovnik,DBV,Transavia France,,Paris,PAR,Dubrovnik,DBV,0,,,,,,France,FR,Croatie,HR,1411
Aéroport de Charles De Gaulle,CDG,Duesseldorf International,DUS,Air France,WDL Aviation,Paris,PAR,Düsseldorf,DUS,0,,,,,,France,FR,Allemagne,DE,393
Aéroport de Charles De Gaulle,CDG,Duesseldorf International,DUS,Air France,HOP!,Paris,PAR,Düsseldorf,DUS,0,,,,,,France,FR,Allemagne,DE,393
Aéroport de Charles De Gaulle,CDG,Aéroport d' Edinburgh,EDI,Air France,HOP!,Paris,PAR,Edimbourg,EDI,0,,,,,,France,FR,Royaume-Uni,GB,869
Aéroport de Charles De Gaulle,CDG,Aéroport d' Edinburgh,EDI,Air France,,Paris,PAR,Edimbourg,EDI,0,,,,,,France,FR,Royaume-Uni,GB,869
Aéroport de Paris-Orly,ORY,Aéroport d' Edinburgh,EDI,Transavia France,,Paris,PAR,Edimbourg,EDI,0,,,,,,France,FR,Royaume-Uni,GB,892
Aéroport de Charles De Gaulle,CDG,Aéroport de Yerevan,EVN,Air France,,Paris,PAR,Erevan,EVN,0,,,,,,France,FR,Arménie,AM,3413
Aéroport de Paris-Orly,ORY,Aéroport d' Essaouira,ESU,Transavia France,,Paris,PAR,Essaouira,ESU,1,Fès,FEZ),Aéroport de Sais,,Maroc,France,FR,Maroc,MA,2179
Aéroport de Paris-Orly,ORY,Aéroport d' Essaouira,ESU,Transavia France,,Paris,PAR,Essaouira,ESU,0,,,,,,France,FR,Maroc,MA,2179
Aéroport de Charles De Gaulle,CDG,EuroAirport Swiss,BSL,Air France,HOP!,Paris,PAR,EuroAéroport,EAP,0,,,,,,France,FR,Suisse,CH,401
Aéroport de Paris-Orly,ORY,Aéroport de Faro,FAO,Transavia France,,Paris,PAR,Faro,FAO,0,,,,,,France,FR,Portugal,PT,1550
Aéroport de Paris-Orly,ORY,Aéroport de Sais,FEZ,Transavia France,,Paris,PAR,Fès,FEZ,0,,,,,,France,FR,Maroc,MA,1756
Aéroport de Charles De Gaulle,CDG,Aéroport de Sud Corse,FSC,Air France,,Paris,PAR,Figari,FSC,0,,,,,,France,FR,France,FR,980
Aéroport de Paris-Orly,ORY,Aéroport de Sud Corse,FSC,Air France,,Paris,PAR,Figari,FSC,0,,,,,,France,FR,France,FR,962
Aéroport de Paris-Orly,ORY,Aéroport de Sud Corse,FSC,Air France,HOP!,Paris,PAR,Figari,FSC,0,,,,,,France,FR,France,FR,962
Aéroport de Charles De Gaulle,CDG,Aéroport de Peretola,FLR,Air France,,Paris,PAR,Florence,FLR,0,,,,,,France,FR,Italie,IT,880
Aéroport de Paris-Orly,ORY,Aéroport de Lamentin,FDF,Air France,,Paris,PAR,Fort-de-France,FDF,0,,,,,,France,FR,Martinique,MQ,6857
Aéroport de Charles De Gaulle,CDG,Aéroport International Francfort,FRA,Air France,HOP!,Paris,PAR,Francfort,FRA,0,,,,,,France,FR,Allemagne,DE,451
Aéroport de Charles De Gaulle,CDG,Aéroport International Lungi,FNA,Air France,,Paris,PAR,Freetown,FNA,0,,,,,,France,FR,Sierra Leone,SL,4731
Aéroport de Paris-Orly,ORY,Aéroport de Madeira,FNC,Transavia France,,Paris,PAR,Funchal,FNC,0,,,,,,France,FR,Portugal,PT,2393
Aéroport de Paris-Orly,ORY,Aéroport de Madeira,FNC,Transavia France,,Paris,PAR,Funchal,FNC,1,Porto,OPO),Aéroport de Porto,,Portugal,France,FR,Portugal,PT,2393
Aéroport de Charles De Gaulle,CDG,Aéroport de Cristoforo Colombo,GOA,Air France,HOP!,Paris,PAR,Gênes,GOA,0,,,,,,France,FR,Italie,IT,702
Aéroport de Charles De Gaulle,CDG,Aéroport de Geneve-Cointrin,GVA,Air France,,Paris,PAR,Genève,GVA,0,,,,,,France,FR,Suisse,CH,409
Aéroport de Charles De Gaulle,CDG,Aéroport International Glasgow,GLA,Air France,HOP!,Paris,PAR,Glasgow,GLA,0,,,,,,France,FR,Royaume-Uni,GB,898
Aéroport de Charles De Gaulle,CDG,Aéroport International Glasgow,GLA,Air France,,Paris,PAR,Glasgow,GLA,0,,,,,,France,FR,Royaume-Uni,GB,898
Aéroport de Charles De Gaulle,CDG,Aéroport de Landvetter,GOT,Air France,HOP!,Paris,PAR,Göteborg,GOT,0,,,,,,France,FR,Suède,SE,1157
Aéroport de Charles De Gaulle,CDG,Aéroport de Baiyun,CAN,Air France,,Paris,PAR,Guangzhou,CAN,0,,,,,,France,FR,Chine,CN,9466
Aéroport de Charles De Gaulle,CDG,Aéroport d' Hamburg,HAM,Air France,,Paris,PAR,Hambourg,HAM,0,,,,,,France,FR,Allemagne,DE,729
Aéroport de Charles De Gaulle,CDG,Aéroport d' Hannover,HAJ,Air France,HOP!,Paris,PAR,Hanovre,HAJ,0,,,,,,France,FR,Allemagne,DE,632
Aéroport de Charles De Gaulle,CDG,Aéroport d' Hannover,HAJ,Air France,WDL Aviation,Paris,PAR,Hanovre,HAJ,0,,,,,,France,FR,Allemagne,DE,632
Aéroport de Charles De Gaulle,CDG,Aéroport d' Hannover,HAJ,Air France,Cityjet,Paris,PAR,Hanovre,HAJ,0,,,,,,France,FR,Allemagne,DE,632
Aéroport de Paris-Orly,ORY,Aéroport de N. Kazantzakis,HER,Transavia France,,Paris,PAR,Héraklion,HER,0,,,,,,France,FR,Grèce,GR,2388
Aéroport de Charles De Gaulle,CDG,Aéroport de Tan Son Nhat,SGN,Air France,,Paris,PAR,Hô Chi Minh-Ville,SGN,0,,,,,,France,FR,Vietnam,VN,10116
Aéroport de Charles De Gaulle,CDG,Aéroport International Hong Kong,HKG,Air France,,Paris,PAR,Hong Kong,HKG,0,,,,,,France,FR,Hong Kong,HK,9601
Aéroport de Charles De Gaulle,CDG,Aéroport de George Bush Intercontinental,IAH,Air France,,Paris,PAR,"Houston, TX",HOU,0,,,,,,France,FR,États-Unis d'Amérique,US,8079
Aéroport de Paris-Orly,ORY,Aéroport d' Ibiza,IBZ,Transavia France,,Paris,PAR,Ibiza,IBZ,0,,,,,,France,FR,Espagne et Îles Canaries,ES,1099
Aéroport de Charles De Gaulle,CDG,Aéroport International S. Seewoosagur Ram.,MRU,Air France,,Paris,PAR,Ile Maurice,MRU,0,,,,,,France,FR,Maurice,MU,9457
Aéroport de Charles De Gaulle,CDG,Aéroport d' Ataturk,IST,Air France,,Paris,PAR,Istanbul,IST,0,,,,,,France,FR,Turquie,TR,2239
Aéroport de Charles De Gaulle,CDG,Aéroport d' Ataturk,IST,Air France,Atlasjet,Paris,PAR,Istanbul,IST,0,,,,,,France,FR,Turquie,TR,2239
Aéroport de Charles De Gaulle,CDG,Aéroport International O.R. Tambo,JNB,Air France,,Paris,PAR,Johannesbourg,JNB,0,,,,,,France,FR,Afrique du Sud,ZA,8745
Aéroport de Charles De Gaulle,CDG,Aéroport de Kiev-Borispol,KBP,Air France,,Paris,PAR,Kiev,IEV,0,,,,,,France,FR,Ukraine,UA,2036
Aéroport de Charles De Gaulle,CDG,Aéroport de N'Djili,FIH,Air France,,Paris,PAR,Kinshasa,FIH,0,,,,,,France,FR,République démocratique du Congo,CD,6074
Aéroport de Charles De Gaulle,CDG,Aéroport de N'Djili,FIH,Air France,,Paris,PAR,Kinshasa,FIH,1,Luanda,LAD),Aéroport de 4 de Fevereiro,,Angola,France,FR,République démocratique du Congo,CD,6074
Aéroport de Paris-Orly,ORY,Aéroport de Souda,CHQ,Transavia France,,Paris,PAR,La Canée,CHQ,0,,,,,,France,FR,Grèce,GR,2308
Aéroport de Charles De Gaulle,CDG,Aéroport International Jose Marti,HAV,Air France,,Paris,PAR,La Havane,HAV,0,,,,,,France,FR,Cuba,CU,7752
Aéroport de Charles De Gaulle,CDG,Aéroport de Murtala Muhammed,LOS,Air France,,Paris,PAR,Lagos,LOS,0,,,,,,France,FR,Nigéria,NG,4723
Aéroport de Paris-Orly,ORY,Aéroport de Servel,LAI,HOP!,,Paris,PAR,Lannion,LAI,0,,,,,,France,FR,France,FR,428
Aéroport de Charles De Gaulle,CDG,Aéroport International Cairo,CAI,Air France,,Paris,PAR,Le Caire,CAI,0,,,,,,France,FR,Égypte,EG,3212
Aéroport de Charles De Gaulle,CDG,Aéroport International Cape Town,CPT,Air France,,Paris,PAR,Le Cap,CPT,0,,,,,,France,FR,Afrique du Sud,ZA,9373
Aéroport de Charles De Gaulle,CDG,Aéroport de Libreville,LBV,Air France,,Paris,PAR,Libreville,LBV,0,,,,,,France,FR,Gabon,GA,5444
Aéroport de Charles De Gaulle,CDG,Aéroport International J Chavez,LIM,Air France,,Paris,PAR,Lima,LIM,0,,,,,,France,FR,Pérou,PE,10289
Aéroport de Charles De Gaulle,CDG,Aéroport de Lisboa,LIS,Air France,,Paris,PAR,Lisbonne,LIS,0,,,,,,France,FR,Portugal,PT,1471
Aéroport de Paris-Orly,ORY,Aéroport de Lisboa,LIS,Transavia France,,Paris,PAR,Lisbonne,LIS,0,,,,,,France,FR,Portugal,PT,1439
Aéroport de Charles De Gaulle,CDG,Aéroport de Brnik,LJU,Air France,HOP!,Paris,PAR,Ljubljana,LJU,0,,,,,,France,FR,Slovénie,SI,945
Aéroport de Charles De Gaulle,CDG,Aéroport de Lome,LFW,Air France,,Paris,PAR,Lomé,LFW,1,Niamey,NIM),Aéroport de Niamey,,Niger,France,FR,Togo,TG,4772
Aéroport de Charles De Gaulle,CDG,Aéroport de Lome,LFW,Air France,,Paris,PAR,Lomé,LFW,0,,,,,,France,FR,Togo,TG,4772
Aéroport de Charles De Gaulle,CDG,Aéroport d' Heathrow,LHR,Air France,,Paris,PAR,Londres,LON,0,,,,,,France,FR,Royaume-Uni,GB,348
Aéroport de Paris-Orly,ORY,Aéroport de Luton,LTN,Transavia France,,Paris,PAR,Londres,LON,0,,,,,,France,FR,Royaume-Uni,GB,401
Aéroport de Paris-Orly,ORY,Aéroport de Lann Bihoue,LRT,Air France,HOP!,Paris,PAR,Lorient,LRT,0,,,,,,France,FR,France,FR,443
Aéroport de Charles De Gaulle,CDG,Aéroport International Los Angeles,LAX,Air France,,Paris,PAR,"Los Angeles, CA",LAX,0,,,,,,France,FR,États-Unis d'Amérique,US,9112
Aéroport de Paris-Orly,ORY,Aéroport de Tarbes Ossun Lourdes,LDE,HOP!,Avanti Air,Paris,PAR,Lourdes / Tarbes,LDE,0,,,,,,France,FR,France,FR,644
Aéroport de Charles De Gaulle,CDG,Aéroport de 4 de Fevereiro,LAD,Air France,,Paris,PAR,Luanda,LAD,0,,,,,,France,FR,Angola,AO,6526
Aéroport de Charles De Gaulle,CDG,Aéroport de Lyon St-Exupéry,LYS,Air France,,Paris,PAR,Lyon,LYS,0,,,,,,France,FR,France,FR,412
Aéroport de Paris-Orly,ORY,Aéroport de Lyon St-Exupéry,LYS,Air France,,Paris,PAR,Lyon,LYS,0,,,,,,France,FR,France,FR,393
Aéroport de Paris-Orly,ORY,Aéroport de Lyon St-Exupéry,LYS,Air France,HOP!,Paris,PAR,Lyon,LYS,0,,,,,,France,FR,France,FR,393
Aéroport de Charles De Gaulle,CDG,Aéroport de Barajas,MAD,Air France,,Paris,PAR,Madrid,MAD,0,,,,,,France,FR,Espagne et Îles Canaries,ES,1065
Aéroport de Paris-Orly,ORY,Aéroport de Barajas,MAD,Transavia France,,Paris,PAR,Madrid,MAD,0,,,,,,France,FR,Espagne et Îles Canaries,ES,1032
Aéroport de Charles De Gaulle,CDG,Aéroport de Santa Isabel,SSG,Air France,,Paris,PAR,Malabo,SSG,1,Douala,DLA),Aéroport de Douala,,Cameroun,France,FR,Guinée équatoriale,GQ,5071
