departure_airport_name,departure_airport_code,departure_city_name,departure_city_code,departure_city_longitude,departure_city_latitude,departure_country_name,departure_country_code,arrival_airport_name,arrival_airport_code,arrival_city_name,arrival_city_code,arrival_city_longitude,arrival_city_latitude,arrival_country_name,arrival_country_code,airline_name,airline_assured_name,stopover_count,stopover_city_name,stopover_city_code,stopover_city_longitude,stopover_city_latitude,stopover_airport_name,stopover_airport_code,stopover_country,distance,type
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Yoff,DKR,Dakar,DKR,-17.37,14.74,Sénégal,SN,Air France,,0,,,,,,,,4229,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Yoff,DKR,Dakar,DKR,-17.37,14.74,Sénégal,SN,Transavia France,,1,Boa Vista Island,BVC,-22.83,16.14,Aéroport de Rabil,BVC,Cap-Vert,4196,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport International Indira Gandhi,DEL,Delhi,DEL,77.22,28.64,Inde,IN,Air France,,0,,,,,,,,6573,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Wayne County,DTW,"Détroit, MI",DTT,-83.02,42.33,États-Unis d'Amérique,US,Air France,,0,,,,,,,,6365,LineString
Aéroport de Paris-Orly,ORY,Paris,PAR,2.35,48.86,France,FR,Aéroport de Melita,DJE,Djerba,DJE,10.85,33.81,Tunisie,TN,Transavia France,,0,,,,,,,,1794,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport d' Ambouli,JIB,Djibouti,JIB,43.16,11.55,Djibouti,DJ,Air France,,0,,,,,,,,5597,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Douala,DLA,Douala,DLA,9.71,4.01,Cameroun,CM,Air France,,0,,,,,,,,5055,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Douala,DLA,Douala,DLA,9.71,4.01,Cameroun,CM,Air France,,1,Yaoundé,YAO,11.52,3.83,Aéroport de Nsimalen,NSI,Cameroun,5055,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Dubai,DXB,Dubaï,DXB,55.36,25.25,Émirats arabes unis,AE,Air France,,0,,,,,,,,5243,LineString
Aéroport de Charles De Gaulle,CDG,Paris,PAR,2.35,48.86,France,FR,Aéroport de Dublin,DUB,Dublin,DUB,-6.25,53.35,Irlande,IE,Air France,,0,,,,,,,,785,LineString
